iter	Passed	Remaining
470	710	797
471	711	795
472	712	794
473	713	791
474	714	789
475	715	787
476	716	785
477	717	784
478	719	782
479	720	780
480	722	779
481	723	777
482	724	775
483	726	774
484	728	773
485	729	771
486	729	768
487	731	766
488	731	764
489	733	762
490	734	761
491	735	759
492	736	757
493	738	756
494	739	754
495	740	752
496	741	750
497	742	748
498	743	746
499	744	744
500	745	742
501	747	741
502	748	739
503	749	737
504	750	735
505	751	733
506	752	731
507	754	730
508	755	728
509	756	726
510	757	724
511	758	723
512	759	721
513	760	719
514	762	717
515	763	716
516	764	714
517	765	712
518	766	710
519	768	709
520	770	707
521	771	706
522	772	704
523	773	702
524	774	700
525	775	698
526	776	696
527	777	695
528	778	693
529	779	691
530	780	689
531	781	687
532	782	685
533	784	684
534	785	682
535	786	680
536	787	678
537	788	677
538	789	675
539	790	673
540	792	671
541	793	670
542	794	668
543	795	666
544	796	664
545	797	663
546	798	661
547	799	659
548	801	658
549	802	656
550	803	654
551	804	652
552	805	651
553	806	649
554	807	647
555	808	645
556	809	644
557	811	642
558	812	640
559	813	639
560	815	637
561	816	636
562	817	634
563	818	632
564	819	631
565	820	629
566	821	627
567	823	626
568	824	624
569	825	622
570	826	620
571	827	619
572	828	617
573	830	616
574	831	614
575	832	612
576	833	611
577	835	609
578	836	607
579	837	606
580	838	604
581	839	602
582	840	601
583	841	599
584	842	597
585	843	596
586	844	594
587	846	592
588	847	591
589	848	589
590	849	588
591	850	586
592	851	584
593	852	582
594	853	581
595	855	579
596	856	577
597	857	576
598	858	574
599	859	573
600	861	572
601	862	570
602	864	568
603	865	567
604	866	565
605	867	564
606	868	562
607	869	560
608	870	558
609	871	557
610	872	555
611	874	554
612	875	552
613	876	550
614	877	549
615	878	547
616	880	546
617	881	544
618	882	543
619	883	541
620	884	539
621	885	538
622	886	536
623	887	535
624	889	533
625	890	531
626	892	531
627	894	529
628	895	528
629	896	526
630	897	524
631	899	523
632	900	521
633	901	520
634	902	518
635	903	517
636	904	515
637	906	514
638	907	512
639	908	511
640	910	509
641	911	508
642	912	506
643	913	505
644	914	503
645	915	501
646	916	500
647	917	498
648	919	497
649	920	495
650	921	494
651	922	492
652	924	491
653	925	489
654	926	488
655	928	486
656	929	485
657	930	483
658	931	482
659	932	480
660	933	478
661	935	477
662	936	475
663	937	474
664	938	472
665	940	471
666	941	470
667	942	468
668	943	467
669	944	465
670	946	463
671	947	462
672	948	460
673	949	459
674	950	457
675	951	456
676	952	454
677	954	453
678	955	451
679	956	450
680	957	448
681	959	447
682	961	446
683	962	444
684	963	442
685	964	441
686	965	439
687	966	438
688	967	436
689	969	435
690	971	434
691	972	432
692	973	431
693	974	429
694	975	428
695	976	426
696	977	425
697	978	423
698	979	421
699	980	420
700	981	418
701	982	417
702	984	415
703	985	414
704	987	413
705	988	411
706	989	409
707	990	408
708	991	406
709	992	405
710	993	403
711	994	402
712	995	400
713	996	399
714	997	397
715	998	396
716	999	394
717	1000	393
718	1002	391
719	1003	390
720	1004	388
721	1005	387
722	1006	385
723	1007	384
724	1008	382
725	1009	380
726	1010	379
727	1011	377
728	1012	376
729	1013	374
730	1014	373
731	1015	371
732	1016	370
733	1017	368
734	1019	367
735	1020	366
736	1021	364
737	1022	363
738	1023	361
739	1024	360
740	1026	358
741	1027	357
742	1028	355
743	1029	354
744	1030	352
745	1031	351
746	1032	349
747	1034	348
748	1035	346
749	1036	345
750	1037	343
751	1038	342
752	1039	340
753	1040	339
754	1041	338
755	1042	336
756	1043	335
757	1045	333
758	1046	332
759	1047	330
760	1048	329
761	1050	328
762	1051	326
763	1052	325
764	1053	323
765	1054	322
766	1055	320
767	1056	319
768	1057	317
769	1058	316
770	1059	314
771	1060	313
772	1061	311
773	1063	310
774	1065	309
775	1066	307
776	1067	306
777	1068	304
778	1069	303
779	1070	302
780	1072	300
781	1073	299
782	1074	297
783	1075	296
784	1076	294
785	1077	293
786	1078	291
787	1079	290
788	1080	289
789	1081	287
790	1082	286
791	1083	284
792	1085	283
793	1086	281
794	1087	280
795	1088	278
796	1089	277
797	1090	276
798	1091	274
799	1092	273
800	1093	271
801	1095	270
802	1096	268
803	1097	267
804	1098	266
805	1099	264
806	1100	263
807	1101	261
808	1102	260
809	1103	258
810	1104	257
811	1105	255
812	1106	254
813	1107	253
814	1108	251
815	1109	250
816	1110	248
817	1111	247
818	1113	246
819	1114	244
820	1115	243
821	1117	241
822	1118	240
823	1119	239
824	1120	237
825	1121	236
826	1122	234
827	1123	233
828	1124	231
829	1125	230
830	1127	229
831	1128	227
832	1130	226
833	1131	225
834	1132	223
835	1133	222
836	1134	221
837	1136	219
838	1137	218
839	1138	216
840	1140	215
841	1141	214
842	1143	212
843	1144	211
844	1145	210
845	1146	208
846	1147	207
847	1148	205
848	1149	204
849	1150	203
850	1151	201
851	1152	200
852	1154	198
853	1155	197
854	1156	196
855	1158	194
856	1159	193
857	1161	192
858	1162	190
859	1163	189
860	1164	188
861	1165	186
862	1166	185
863	1167	183
864	1168	182
865	1169	181
866	1171	179
867	1172	178
868	1173	176
869	1175	175
870	1176	174
871	1177	172
872	1178	171
873	1179	170
874	1180	168
875	1181	167
876	1182	165
877	1183	164
878	1184	163
879	1186	161
880	1187	160
881	1188	159
882	1189	157
883	1190	156
884	1192	154
885	1193	153
886	1194	152
887	1195	150
888	1196	149
889	1197	147
890	1198	146
891	1199	145
892	1200	143
893	1202	142
894	1203	141
895	1204	139
896	1205	138
897	1207	137
898	1208	135
899	1209	134
900	1210	133
901	1211	131
902	1212	130
903	1213	128
904	1214	127
905	1215	126
906	1216	124
907	1218	123
908	1219	122
909	1220	120
910	1222	119
911	1223	118
912	1224	116
913	1225	115
914	1227	113
915	1228	112
916	1228	111
917	1230	109
918	1231	108
919	1232	107
920	1233	105
921	1234	104
922	1236	103
923	1238	101
924	1239	100
925	1240	99
926	1241	97
927	1242	96
928	1243	95
929	1244	93
930	1245	92
931	1246	90
932	1248	89
933	1249	88
934	1250	86
935	1252	85
936	1253	84
937	1254	82
938	1255	81
939	1256	80
940	1258	78
941	1259	77
942	1260	76
943	1261	74
944	1262	73
945	1263	72
946	1264	70
947	1265	69
948	1267	68
949	1268	66
950	1269	65
951	1270	64
952	1271	62
953	1272	61
954	1273	60
955	1274	58
956	1276	57
957	1277	55
958	1277	54
959	1279	53
960	1280	51
961	1281	50
962	1282	49
963	1284	47
964	1285	46
965	1287	45
966	1287	43
967	1288	42
968	1289	41
969	1290	39
970	1292	38
971	1293	37
972	1294	35
973	1295	34
974	1297	33
975	1298	31
976	1299	30
977	1300	29
978	1301	27
979	1302	26
980	1303	25
981	1304	23
982	1305	22
983	1306	21
984	1308	19
985	1309	18
986	1310	17
987	1312	15
988	1313	14
989	1314	13
990	1315	11
991	1316	10
992	1317	9
993	1318	7
994	1319	6
995	1321	5
996	1321	3
997	1323	2
998	1324	1
999	1326	0
